Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D15,D,D_SOD-123,312.7375,-0.79375,90.0,bottom
D16,D,D_SOD-123,331.7875,-0.79375,90.0,bottom
D17,D,D_SOD-123,3.175,-24.60625,90.0,bottom
D18,D,D_SOD-123,22.225,-24.60625,90.0,bottom
D19,D,D_SOD-123,41.275,-24.60625,90.0,bottom
D20,D,D_SOD-123,60.325,-24.60625,90.0,bottom
D21,D,D_SOD-123,79.375,-24.60625,90.0,bottom
D22,D,D_SOD-123,98.425,-24.60625,90.0,bottom
D23,D,D_SOD-123,117.475,-24.60625,90.0,bottom
D24,D,D_SOD-123,136.525,-24.60625,90.0,bottom
D25,D,D_SOD-123,155.575,-24.60625,90.0,bottom
D26,D,D_SOD-123,174.625,-24.60625,90.0,bottom
D27,D,D_SOD-123,193.675,-24.60625,90.0,bottom
D28,D,D_SOD-123,212.725,-24.60625,90.0,bottom
D29,D,D_SOD-123,231.775,-24.60625,90.0,bottom
D30,D,D_SOD-123,244.54,-23.85,90.0,bottom
D31,D,D_SOD-123,274.2,-30.39,90.0,bottom
D32,D,D_SOD-123,293.6875,-24.60625,90.0,bottom
D33,D,D_SOD-123,312.7375,-24.60625,90.0,bottom
D34,D,D_SOD-123,331.7875,-24.60625,90.0,bottom
D35,D,D_SOD-123,7.9375,-43.65625,90.0,bottom
D36,D,D_SOD-123,31.75,-43.65625,90.0,bottom
D37,D,D_SOD-123,50.8,-43.65625,90.0,bottom
D38,D,D_SOD-123,69.85,-43.65625,90.0,bottom
D39,D,D_SOD-123,88.9,-43.65625,90.0,bottom
D40,D,D_SOD-123,107.95,-43.65625,90.0,bottom
D41,D,D_SOD-123,127.0,-43.65625,90.0,bottom
D42,D,D_SOD-123,146.05,-43.65625,90.0,bottom
D43,D,D_SOD-123,165.1,-43.65625,90.0,bottom
D44,D,D_SOD-123,184.15,-43.65625,90.0,bottom
D45,D,D_SOD-123,203.2,-43.65625,90.0,bottom
D46,D,D_SOD-123,222.25,-43.65625,90.0,bottom
D47,D,D_SOD-123,241.3,-43.65625,90.0,bottom
D48,D,D_SOD-123,265.1125,-43.65625,90.0,bottom
D49,D,D_SOD-123,293.6875,-43.65625,90.0,bottom
D50,D,D_SOD-123,312.7375,-43.65625,90.0,bottom
D51,D,D_SOD-123,331.7875,-43.65625,90.0,bottom
D52,D,D_SOD-123,7.93,-70.3,0.0,bottom
D53,D,D_SOD-123,36.5125,-62.70625,90.0,bottom
D54,D,D_SOD-123,55.5625,-62.70625,90.0,bottom
D55,D,D_SOD-123,74.6125,-62.70625,90.0,bottom
D56,D,D_SOD-123,93.6625,-62.70625,90.0,bottom
D57,D,D_SOD-123,112.7125,-62.70625,90.0,bottom
D58,D,D_SOD-123,131.7625,-62.70625,90.0,bottom
D59,D,D_SOD-123,150.8125,-62.70625,90.0,bottom
D60,D,D_SOD-123,169.8625,-62.70625,90.0,bottom
D61,D,D_SOD-123,188.9125,-62.70625,90.0,bottom
D62,D,D_SOD-123,207.9625,-62.70625,90.0,bottom
D63,D,D_SOD-123,227.0125,-62.70625,90.0,bottom
D64,D,D_SOD-123,257.92,-62.37,90.0,bottom
D65,D,D_SOD-123,297.65625,-62.70625,90.0,bottom
D66,D,D_SOD-123,312.7375,-62.70625,90.0,bottom
D67,D,D_SOD-123,322.98,-64.36,180.0,bottom
D68,D,D_SOD-123,15.08125,-81.75625,90.0,bottom
D69,D,D_SOD-123,46.0375,-81.75625,90.0,bottom
D70,D,D_SOD-123,65.0875,-81.75625,90.0,bottom
D71,D,D_SOD-123,84.1375,-81.75625,90.0,bottom
D72,D,D_SOD-123,103.1875,-81.75625,90.0,bottom
D73,D,D_SOD-123,122.2375,-81.75625,90.0,bottom
D74,D,D_SOD-123,141.2875,-81.75625,90.0,bottom
D75,D,D_SOD-123,160.3375,-81.75625,90.0,bottom
D76,D,D_SOD-123,179.3875,-81.75625,90.0,bottom
D77,D,D_SOD-123,198.4375,-81.75625,90.0,bottom
D78,D,D_SOD-123,217.4875,-81.75625,90.0,bottom
D79,D,D_SOD-123,252.01,-85.51,0.0,bottom
D80,D,D_SOD-123,263.59,-80.43,270.0,bottom
D81,D,D_SOD-123,297.65625,-81.75625,90.0,bottom
D82,D,D_SOD-123,312.7375,-81.75625,90.0,bottom
D83,D,D_SOD-123,323.05,-83.4,180.0,bottom
D84,D,D_SOD-123,5.55625,-100.80625,90.0,bottom
D85,D,D_SOD-123,29.36875,-100.80625,90.0,bottom
D86,D,D_SOD-123,53.18125,-100.80625,90.0,bottom
D87,D,D_SOD-123,124.61875,-100.80625,90.0,bottom
D88,D,D_SOD-123,196.05625,-100.80625,90.0,bottom
D89,D,D_SOD-123,219.86875,-100.80625,90.0,bottom
D90,D,D_SOD-123,243.68125,-100.80625,90.0,bottom
D91,D,D_SOD-123,267.49375,-100.80625,90.0,bottom
D92,D,D_SOD-123,293.6875,-100.80625,90.0,bottom
D93,D,D_SOD-123,312.7375,-100.80625,90.0,bottom
D94,D,D_SOD-123,331.7875,-100.80625,90.0,bottom
D95,WS2812_2020,LED_WS2812_2020,-5.55625,-11.90625,0.0,bottom
D96,WS2812_2020,LED_WS2812_2020,20.515384,-11.90625,0.0,bottom
D97,WS2812_2020,LED_WS2812_2020,46.587018,-11.90625,0.0,bottom
D98,WS2812_2020,LED_WS2812_2020,72.658652,-11.90625,0.0,bottom
D99,WS2812_2020,LED_WS2812_2020,98.730286,-11.90625,0.0,bottom
D100,WS2812_2020,LED_WS2812_2020,124.80192,-11.90625,0.0,bottom
D101,WS2812_2020,LED_WS2812_2020,150.873554,-11.90625,0.0,bottom
D102,WS2812_2020,LED_WS2812_2020,176.945188,-11.90625,0.0,bottom
D103,WS2812_2020,LED_WS2812_2020,203.016822,-11.90625,0.0,bottom
D104,WS2812_2020,LED_WS2812_2020,229.088456,-11.90625,0.0,bottom
D105,WS2812_2020,LED_WS2812_2020,255.16009,-11.90625,0.0,bottom
D106,WS2812_2020,LED_WS2812_2020,282.575,-11.90625,0.0,bottom
D107,WS2812_2020,LED_WS2812_2020,307.303358,-11.90625,0.0,bottom
D108,WS2812_2020,LED_WS2812_2020,333.375,-11.90625,0.0,bottom
D109,WS2812_2020,LED_WS2812_2020,333.6,-33.33,180.0,bottom
D110,WS2812_2020,LED_WS2812_2020,333.263125,-52.3875,180.0,bottom
D111,WS2812_2020,LED_WS2812_2020,334.165,-71.45,180.0,bottom
D112,WS2812_2020,LED_WS2812_2020,333.375,-90.4875,180.0,bottom
D113,WS2812_2020,LED_WS2812_2020,307.303358,-90.4875,180.0,bottom
D114,WS2812_2020,LED_WS2812_2020,281.231724,-90.4875,180.0,bottom
D115,WS2812_2020,LED_WS2812_2020,255.16009,-90.4875,180.0,bottom
D116,WS2812_2020,LED_WS2812_2020,228.347038,-90.4875,180.0,bottom
D117,WS2812_2020,LED_WS2812_2020,201.53399,-90.4875,180.0,bottom
D118,WS2812_2020,LED_WS2812_2020,175.41875,-90.4875,180.0,bottom
D119,WS2812_2020,LED_WS2812_2020,147.907894,-90.4875,180.0,bottom
D120,WS2812_2020,LED_WS2812_2020,121.094846,-90.4875,180.0,bottom
D121,WS2812_2020,LED_WS2812_2020,94.281798,-90.4875,180.0,bottom
D122,WS2812_2020,LED_WS2812_2020,67.46875,-90.4875,180.0,bottom
D123,WS2812_2020,LED_WS2812_2020,46.587018,-90.4875,180.0,bottom
D124,WS2812_2020,LED_WS2812_2020,20.35,-90.4875,180.0,bottom
D125,WS2812_2020,LED_WS2812_2020,-5.55625,-90.4875,180.0,bottom
D126,WS2812_2020,LED_WS2812_2020,-5.55625,-71.4375,0.0,bottom
D127,WS2812_2020,LED_WS2812_2020,-5.55625,-52.3875,0.0,bottom
D128,WS2812_2020,LED_WS2812_2020,-5.55625,-33.3375,0.0,bottom
F1,500mA,Fuse_1206_3216Metric,274.39,1.04,270.0,bottom
J2,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,278.60625,12.7,180.0,top
